sdss_name,ra,dec,zabs,zqso,ew3934,ew3969,err3934,err3969
SDSS J000050.60-102155.9,28.379,-0.057,0.843,1.91,1.456,0.639,0.301,0.312
SDSS J000227.69-051022.4,118.233,49.291,0.493,0.975,0.696,0.648,0.274,0.324
SDSS J000439.26-003145.5,125.921,24.302,0.802,1.815,0.195,0.13,0.065,0.04
SDSS J000442.03+003021.0,126.26,19.348,0.431,1.429,0.497,0.534,0.192,0.15
SDSS J000453.27+260554.6,126.395,45.281,0.789,1.814,0.423,0.322,0.128,0.144
SDSS J000500.08-033228.2,127.537,11.208,0.786,1.778,1.372,0.986,0.336,0.309
SDSS J000639.21+142156.1,133.573,53.46,1.211,2.422,0.18,0.288,0.048,0.113
SDSS J000826.77-050636.5,145.521,30.893,1.101,1.337,0.447,0.226,0.12,0.078
SDSS J000912.18+002413.4,147.785,16.032,0.988,1.496,0.267,0.525,0.101,0.15
SDSS J001234.10-092612.7,156.097,45.793,0.754,0.848,0.302,0.436,0.097,0.205
SDSS J001457.58-002939.1,171.512,0.572,0.863,1.793,0.197,0.4,0.056,0.091
SDSS J001628.25+344434.9,178.077,23.078,0.848,1.138,0.561,0.419,0.222,0.198
SDSS J001813.30+361058.6,186.273,25.926,1.062,2.102,1.072,1.035,0.426,0.443
SDSS J001901.54-085738.7,189.019,10.58,0.612,0.667,0.293,0.166,0.09,0.079
SDSS J001940.23-005435.9,192.782,29.316,0.529,0.651,0.543,0.235,0.161,0.114
SDSS J001946.60-092635.2,192.845,32.25,0.67,0.814,0.734,0.174,0.228,0.085
SDSS J002140.66+161000.7,211.788,2.765,0.895,1.37,0.415,0.351,0.161,0.091
SDSS J002239.53-010741.3,214.066,36.927,1.204,1.828,0.624,0.31,0.197,0.109
SDSS J002315.77-103434.0,217.472,4.264,0.713,1.936,0.767,0.301,0.195,0.119
SDSS J002553.53+000153.7,227.936,31.808,0.752,0.86,0.292,0.319,0.087,0.095
SDSS J002609.07-003749.3,230.402,3.708,0.861,2.027,0.541,0.317,0.126,0.153
SDSS J002804.94+011040.8,234.744,-1.802,0.638,0.811,0.325,0.139,0.066,0.065
SDSS J003214.71-003359.3,348.012,-0.927,0.96,1.609,0.594,0.381,0.216,0.19
SDSS J003349.47+154637.0,37.969,-3.747,0.458,1.029,0.172,0.13,0.057,0.063
SDSS J003609.44-095908.3,126.286,11.927,1.081,1.996,0.213,0.082,0.059,0.041
SDSS J003613.38-003103.0,128.571,35.809,1.314,2.163,0.306,0.159,0.073,0.079
SDSS J003653.85+083936.2,131.864,17.562,1.292,2.297,0.299,0.353,0.091,0.116
SDSS J003740.13-090810.0,135.536,18.067,1.058,2.003,0.28,0.227,0.059,0.048
SDSS J003934.33-103727.3,153.269,57.841,0.78,1.108,0.297,0.233,0.1,0.103
SDSS J003940.38-110052.0,153.989,28.424,1.34,2.476,1.095,0.583,0.239,0.212
SDSS J004023.77+140807.4,161.005,21.468,1.01,1.501,0.24,0.104,0.057,0.045
SDSS J004112.07+002548.4,163.857,28.317,0.975,2.281,0.448,0.422,0.149,0.155
SDSS J004237.43+002605.8,171.566,28.799,1.295,2.57,0.422,0.23,0.102,0.101
SDSS J004242.00+135450.1,174.979,25.119,0.361,0.737,0.157,0.181,0.039,0.069
SDSS J004434.08+001903.5,187.055,1.377,0.977,2.224,0.86,1.383,0.323,0.486
SDSS J004455.69+134831.4,188.968,52.699,0.723,1.01,0.683,0.836,0.271,0.343
SDSS J004505.55+003142.7,189.094,22.31,1.301,1.863,0.678,0.498,0.163,0.121
SDSS J004729.31+144326.1,214.066,36.927,1.204,1.827,0.712,0.434,0.119,0.096
SDSS J004954.74-101145.9,234.324,43.465,1.027,2.193,0.455,0.259,0.109,0.086
SDSS J005041.29+141002.1,239.51,8.688,1.323,1.511,0.199,0.101,0.066,0.04
SDSS J130241.83+370114.3,195.674,37.021,0.44,1.421,0.559,0.327,0.194,0.113
SDSS J083028.56+072759.6,127.619,7.467,1.254,1.779,1.37,1.044,0.225,0.212
SDSS J094141.94+271741.5,145.425,27.295,1.014,1.323,0.487,1.085,0.111,0.14
SDSS J075333.73+403652.9,118.391,40.615,0.747,1.945,0.674,0.584,0.143,0.231
SDSS J102030.07-001700.5,155.125,-0.283,0.975,2.092,0.549,0.827,0.196,0.228
SDSS J155639.20+002004.7,239.163,0.335,0.999,1.839,0.86,0.396,0.203,0.193
SDSS J222050.56-001827.7,335.211,-0.308,0.872,1.943,0.899,0.824,0.24,0.263
SDSS J085852.41+214315.7,134.718,21.721,1.149,2.36,0.991,0.411,0.225,0.143
